Medicine,Quantity,Age,Purpose
Vitamin D3,"1000-4000 IU tablet","Adults and children above 4 years","Supports bone health and immune function."
Folic Acid,"400-1000 mcg tablet","Adults and children (dose adjusted)","Prevents folate deficiency and supports pregnancy."
Ferrous Sulfate,"200-325 mg tablet","Adults and children (dose adjusted)","Treats iron deficiency anemia."
Cyanocobalamin,"1000 mcg injection","Adults and children (dose adjusted)","Treats vitamin B12 deficiency."
Levocetirizine,"5 mg tablet","Adults and children above 6 years","Relieves allergy symptoms like runny nose and itching."
Desloratadine,"5 mg tablet","Adults and children above 12 years","Relieves allergy symptoms like sneezing and hives."
Risperidone,"0.5-4 mg tablet","Adults and adolescents above 13 years","Treats schizophrenia and bipolar disorder."
Quetiapine,"25-300 mg tablet","Adults","Treats schizophrenia, bipolar disorder, and depression."
Olanzapine,"2.5-20 mg tablet","Adults","Treats schizophrenia and bipolar disorder."
Lamotrigine,"25-200 mg tablet","Adults and children above 2 years","Treats seizures and bipolar disorder."
Carbamazepine,"100-400 mg tablet","Adults and children (dose adjusted)","Treats seizures and trigeminal neuralgia."
Valproic Acid,"250-500 mg capsule","Adults and children (dose adjusted)","Treats seizures and bipolar disorder."
Topiramate,"25-200 mg tablet","Adults and children above 2 years","Treats seizures and prevents migraines."
Levetiracetam,"250-1000 mg tablet","Adults and children above 4 years","Treats seizures."
Pregabalin,"75-300 mg capsule","Adults","Treats nerve pain, fibromyalgia, and seizures."
Duloxetine,"20-60 mg capsule","Adults","Treats depression, anxiety, and chronic pain."
Venlafaxine,"37.5-150 mg tablet","Adults","Treats depression, anxiety, and panic disorders."
Bupropion,"150-300 mg tablet","Adults","Treats depression and aids smoking cessation."
Mirtazapine,"15-45 mg tablet","Adults","Treats depression."
Trazodone,"50-150 mg tablet","Adults","Treats depression and insomnia."
Clarithromycin,"250-500 mg tablet","Adults and children (dose adjusted)","Antibiotic for bacterial infections like pneumonia."
Erythromycin,"250-500 mg tablet","Adults and children (dose adjusted)","Antibiotic for bacterial infections."
Nitrofurantoin,"50-100 mg capsule","Adults and children above 1 month","Treats urinary tract infections."
Propranolol,"10-80 mg tablet","Adults","Treats high blood pressure, anxiety, and migraines."
Ramipril,"2.5-10 mg capsule","Adults","Treats high blood pressure and heart failure."
Enalapril,"5-20 mg tablet","Adults","Treats high blood pressure and heart failure."
